# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 177 177
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
2458.607606983717 113000.0 1606.2866814979352 3382.9876884732653 2.480790066914172e-05 1267.9224402797765 4.158897783736698e-05 155864343059.2513 -9534378.060454924
2462.0467162042696 113000.0 1610.6490307047497 3382.621460875015 2.482667192618605e-05 1268.1827022097075 4.159348056746647e-05 155795017735.7975 -9528846.373222442
2465.485825424821 113000.0 1615.022328061983 3382.254075832445 2.4845506537316452e-05 1268.4431371657981 4.159799850795418e-05 155725487626.05554 -9523299.66458978
2468.924934645375 113000.0 1619.4065981779713 3381.885529324986 2.4864405100755395e-05 1268.7037521246384 4.160253171788528e-05 155655752334.7473 -9517737.896862768
2472.364043865928 113000.0 1623.801865687361 3381.515817315759 2.4883367933566764e-05 1268.964554002642 4.160708025659434e-05 155585810985.49234 -9512161.032262541
2475.8031530864814 113000.0 1628.208155244356 3381.1449357538954 2.4902395523029537e-05 1269.2255499518837 4.161164418366738e-05 155515663144.30038 -9506569.032925494
2479.2422623070347 113000.0 1632.6254915273748 3380.772880565133 2.4921488331547655e-05 1269.4867468935818 4.161622355905827e-05 155445308114.5063 -9500961.860903181
2482.681371527588 113000.0 1637.0538992355578 3380.399647664355 2.494064680026489e-05 1269.748151683667 4.1620818442935126e-05 155374745261.44775 -9495339.478162251
2486.12048074814 113000.0 1641.4934030922595 3380.0252329435393 2.4959871392294858e-05 1270.009771449386 4.162542889582925e-05 155303974121.13083 -9489701.846584372
2489.5595899686937 113000.0 1645.9440278392285 3379.6496322805156 2.4979162539312876e-05 1270.2716133481038 4.163005497852806e-05 155232993805.86758 -9484048.92796615
2492.9986991892474 113000.0 1650.405798241729 3379.2728415329666 2.4998520832467693e-05 1270.5336844057945 4.163469675214961e-05 155161803599.0014 -9478380.684019059
2496.4378084098003 113000.0 1654.8787390838843 3378.89485654076 2.5017946652212075e-05 1270.7959918447334 4.163935427811462e-05 155090403169.3543 -9472697.076369375
2499.876917630352 113000.0 1659.3628751714714 3378.5156731263783 2.503744039219231e-05 1271.058542687187 4.1644027618141846e-05 155018791655.60223 -9466998.066558098
2503.3160268509055 113000.0 1663.8582313300576 3378.135287096112 2.5057002593201313e-05 1271.3213438550706 4.164871683423407e-05 154946968420.5734 -9461283.616040884
2506.7551360714588 113000.0 1668.3648324070964 3377.753694234448 2.5076633721162723e-05 1271.5844025660244 4.165342198874801e-05 154874932836.10272 -9455553.686187977
2510.1942452920125 113000.0 1672.8827032672707 3377.370890310931 2.5096334287059075e-05 1271.847726293315 4.165814314431045e-05 154802684282.3422 -9449808.23828413
2513.633354512566 113000.0 1677.4118687948212 3376.9868710734218 2.5116104769877156e-05 1272.1113219148583 4.166288036390208e-05 154730221934.54147 -9444047.233528556
2517.0724637331195 113000.0 1681.9523538949434 3376.601632253447 2.5135945610576945e-05 1272.3751966013824 4.166763371079229e-05 154657545458.43896 -9438270.633034855
2520.5115729536724 113000.0 1686.5041834898293 3376.215169563611 2.5155857348469507e-05 1272.6393574836059 4.167240324857179e-05 154584653833.04248 -9432478.397830935
2523.9506821742248 113000.0 1691.067382522393 3375.8274786965303 2.5175840424524917e-05 1272.9038119481972 4.1677189041166565e-05 154511546795.3829 -9426670.48885897
2527.3897913947776 113000.0 1695.6419759502169 3375.4385553279085 2.519589534465832e-05 1273.1685674671335 4.168199115280062e-05 154438223076.81427 -9420846.866975317
2530.8289006153304 113000.0 1700.227988750441 3375.0483951135834 2.5216022643159243e-05 1273.4336309874436 4.168680964803323e-05 154364682432.23715 -9415007.492950475
2534.2680098358837 113000.0 1704.8254459181335 3374.6569936892092 2.5236222731254234e-05 1273.69900961151 4.169164459176362e-05 154290924304.80136 -9409152.32746901
2537.7071190564375 113000.0 1709.4343724662904 3374.264346674094 2.5256496199748882e-05 1273.9647110133026 4.169649604918435e-05 154216947721.54993 -9403281.331129491
2541.14622827699 113000.0 1714.054793421179 3373.8704496652276 2.527684351725811e-05 1274.230742465405 4.170136408585589e-05 154142751985.93628 -9397394.464444453
2544.5853374975436 113000.0 1718.6867338293232 3373.475298242246 2.5297265175367262e-05 1274.49711104132 4.1706248767646026e-05 154068336622.57593 -9391491.687840315
2548.024446718096 113000.0 1723.3302187514491 3373.07888796373 2.5317761749924503e-05 1274.7638243783772 4.171115016077645e-05 153993700900.2672 -9385572.961657343
2551.46355593865 113000.0 1727.9852732638828 3372.681214369906 2.5338333696833458e-05 1275.030889780054 4.1716068331790155e-05 153918843938.99576 -9379638.246149585
2554.902665159204 113000.0 1732.6519224590156 3372.282272981203 2.5358981500451216e-05 1275.2983146334166 4.1721003347570074e-05 153843765291.96072 -9373687.501484819
2558.3417743797554 113000.0 1737.3301914436743 3371.8820592986976 2.5379705786585526e-05 1275.5661063117964 4.172595527533442e-05 153768463993.2696 -9367720.687744508
2561.780883600308 113000.0 1742.0201053402852 3371.480568800418 2.5400507001766522e-05 1275.8342723327933 4.173092418268323e-05 153692939826.40747 -9361737.76492374
2565.2199928208615 113000.0 1746.7216892840806 3371.077796949311 2.5421385711268696e-05 1276.1028202282655 4.1735910137500615e-05 153617191529.39648 -9355738.692931179
2568.6591020414153 113000.0 1751.4349684251938 3370.6737391831525 2.544234245517715e-05 1276.3717572937478 4.1740913208080455e-05 153541218747.0637 -9349723.431589024
2572.0982112619686 113000.0 1756.1599679277278 3370.268390923269 2.5463377690917126e-05 1276.6410911244357 4.174593346301932e-05 153465020817.58392 -9343691.940632958
2575.537320482521 113000.0 1760.896712967893 3369.8617475689657 2.5484492031343873e-05 1276.91082951548 4.1750970971286296e-05 153388596721.7272 -9337644.179712093
2578.9764297030742 113000.0 1765.6452287337743 3369.4538044983447 2.5505686047999955e-05 1277.180979802409 4.1756025802213696e-05 153311945871.34302 -9331580.10838894
2582.415538923627 113000.0 1770.4055404283572 3369.04455707026 2.5526960196620774e-05 1277.4515496491586 4.176109802547377e-05 153235067845.41617 -9325499.686139364
2585.8546481441813 113000.0 1775.1776732634753 3368.634000621756 2.5548315068931262e-05 1277.7225465716292 4.176618771111127e-05 153157961499.66916 -9319402.872352531
2589.293757364734 113000.0 1779.9616524663288 3368.222130470391 2.5569751230020226e-05 1277.9939783483032 4.1771294929515574e-05 153080626328.9567 -9313289.626330882
2592.7328665852874 113000.0 1784.7575032704044 3367.8089419109324 2.5591269256113705e-05 1278.265852638117 4.1776419751462525e-05 153003061473.13004 -9307159.907290077
2596.17197580584 113000.0 1789.5652509247884 3367.39443021693 2.5612869619882907e-05 1278.5381768646248 4.178156224809587e-05 152925266656.41757 -9301013.674358983
2599.611085026392 113000.0 1794.3849206860177 3366.978590644545 2.5634552946811113e-05 1278.8109592308017 4.1786722490880636e-05 152847240674.35522 -9294850.886579605
2603.050194246946 113000.0 1799.2165378197096 3366.5614184232377 2.5656319864020548e-05 1279.084207386797 4.179190055171959e-05 152768982804.11865 -9288671.502907077
2606.489303467499 113000.0 1804.0601276024245 3366.142908763353 2.567817088657714e-05 1279.3579288678693 4.179709650286008e-05 152690492593.3975 -9282475.482209628
2609.9284126880525 113000.0 1808.9157153200358 3365.723056853941 2.570010655067028e-05 1279.632131584387 4.1802310416921975e-05 152611769184.26797 -9276262.783268537
2613.3675219086053 113000.0 1813.7833262658678 3365.30185786246 2.572212745203009e-05 1279.9068235405682 4.180754236690235e-05 152532811834.59686 -9270033.364778109
