# This is a data table for enstatite and qtz computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 181 181
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
1969.8376295875985 11000.0 973.6648221244104 3043.5815934977813 3.9900995686099726e-05 1280.1108792838302 4.7477012053399816e-05 67849429918.20576 -13523801.843222676
1972.43382956598 11000.0 975.6411686851643 3043.341179695847 4.0039478704784384e-05 1280.5678574168167 4.748076257898938e-05 67711692314.482605 -13521271.451280372
1975.0300295443617 11000.0 977.6208164379932 3043.0995407763166 4.0180780773545614e-05 1281.028946064377 4.748453281391412e-05 67571785559.9944 -13518735.924060585
1977.6262295227432 11000.0 979.6037632077932 3042.856657155624 4.0325014339469944e-05 1281.494328354345 4.74883230730542e-05 67429633626.97341 -13516195.252995368
1980.2224295011251 11000.0 981.5900064883754 3042.6125085090057 4.0472297577329404e-05 1281.9642012579327 4.749213368310593e-05 67285156084.05659 -13513649.429522855
1982.8186294795062 11000.0 983.5795434224419 3042.3670737511343 4.062275669143338e-05 1282.4387726375523 4.749596498289611e-05 67138268563.10189 -13511098.44508812
1985.4148294578893 11000.0 985.5723707834259 3042.120330959377 4.077652495584216e-05 1282.9182610166697 4.749981732459273e-05 66988881741.73241 -13508542.291144118
1988.0110294362703 11000.0 987.568484955933 3041.8722573590167 4.0933743460442734e-05 1283.402897895355 4.750369107394945e-05 66836901897.015755 -13505980.959152678
1990.6072294146518 11000.0 989.5678819101304 3041.6228292429128 4.109456222353408e-05 1283.8929304908856 4.750758661157451e-05 66682229552.376076 -13503414.440585531
1993.2034293930337 11000.0 991.5705571733415 3041.372021939692 4.125914050887939e-05 1284.388619381058 4.751150433344301e-05 66524760074.68414 -13500842.726925436
1995.7996293714152 11000.0 993.5765058114193 3041.1198097298384 4.142764849949654e-05 1284.8902424437217 4.751544465222396e-05 66364382546.404335 -13498265.809667336
1998.3958293497979 11000.0 995.5857223877683 3040.8661657998737 4.160026643121533e-05 1285.398094867197 4.7519407998013775e-05 66200979655.15457 -13495683.680319622
2000.9920293281784 11000.0 997.5982009442523 3040.6110621534035 4.1777187461744936e-05 1285.9124917235777 4.752339481974486e-05 66034426755.104996 -13493096.330405453
2003.5882293065608 11000.0 999.6139349518344 3040.354469549834 4.1958616805824414e-05 1286.4337682576122 4.752740558616351e-05 65864592043.50548 -13490503.751464175
2006.1844292849419 11000.0 1001.6329172900878 3040.0963574104057 4.214477479147111e-05 1286.9622833333772 4.7531440787320024e-05 65691335439.01235 -13487905.935052827
2008.7806292633234 11000.0 1003.65514018666 3039.836693725844 4.233589724478612e-05 1287.4984202884484 4.753550093603553e-05 65514507736.71679 -13485302.87274775
2011.3768292417049 11000.0 1005.6805951935239 3039.575444959662 4.2532236198689024e-05 1288.0425896142156 4.753958656943869e-05 65333950505.87786 -13482694.556146314
2013.9730292200873 11000.0 1007.7092731175944 3039.3125759441605 4.273406309232395e-05 1288.5952323020267 4.7543698250618765e-05 65149494576.4015 -13480080.976868752
2016.5692291984685 11000.0 1009.7411639858037 3039.0480497423277 4.294166925749208e-05 1289.1568190879568 4.7547836570814254e-05 64960959707.907326 -13477462.126560146
2019.165429176851 11000.0 1011.7762569775805 3038.7818275456457 4.315536820014437e-05 1289.7278613171059 4.755200215104269e-05 64768152884.1578 -13474837.996892525
2021.7616291552324 11000.0 1013.8145403550006 3038.5138684991407 4.3375498807901603e-05 1290.3089077512209 4.755619564487133e-05 64570868107.49613 -13472208.579567164
2024.357829133613 11000.0 1015.8560014045797 3038.24412956534 4.360242605596926e-05 1290.9005484871855 4.756041774058249e-05 64368884595.44969 -13469573.866317024
2026.9540291119954 11000.0 1017.9006263543852 3037.97256534232 4.383654615955468e-05 1291.503423536727 4.7564669164060616e-05 64161964871.75617 -13466933.848909393
2029.5502290903776 11000.0 1019.948400287889 3037.6991278567357 4.4078288229736174e-05 1292.1182269592887 4.756895068207523e-05 63949854575.17759 -13464288.519148748
2032.146429068759 11000.0 1021.99930704711 3037.423766376448 4.432811761038859e-05 1292.7457117078195 4.7573263105261136e-05 63732279149.85597 -13461637.868879838
2034.742629047141 11000.0 1024.053329130169 3037.1464271454042 4.458654217744944e-05 1293.3866975413089 4.757760729232105e-05 63508942373.64391 -13458981.889991023
2037.338829025523 11000.0 1026.1104475683533 3036.867053136712 4.485411447348939e-05 1294.042074936604 4.758198415394872e-05 63279525385.78659 -13456320.574417943
2039.935029003904 11000.0 1028.1706418101676 3036.5855837466397 4.5131439750666605e-05 1294.7128192578957 4.7586394657683556e-05 63043682180.15506 -13453653.914147433
2042.5312289822855 11000.0 1030.233889552299 3036.301954460086 4.541918083676219e-05 1295.399999116882 4.759083983321907e-05 62801037569.51247 -13450981.901221866
2045.1274289606672 11000.0 1032.3001665957272 3036.016096489804 4.571806556331899e-05 1296.1047865209273 4.7595320778130554e-05 62551183898.168175 -13448304.527743861
2047.7236289390487 11000.0 1034.3694466431625 3035.7279363381854 4.602889588032761e-05 1296.828471320052 4.7599838664825076e-05 62293677617.30263 -13445621.78588147
2050.319828917431 11000.0 1036.4417011076584 3035.43739534039 4.635255702758247e-05 1297.5724778512663 4.760439474779414e-05 62028033766.634224 -13442933.667873831
2052.916028895813 11000.0 1038.516898855567 3035.144389108701 4.6690030388103595e-05 1298.33838367915 4.7608990372426343e-05 61753722202.03007 -13440240.166037455
2055.512228874195 11000.0 1040.5950059536844 3034.8488269265026 4.704240525452476e-05 1299.127937484374 4.7613626984623264e-05 61470161305.57903 -13437541.272773117
2058.108428852576 11000.0 1042.6759853535332 3034.550611043758 4.741089672096921e-05 1299.943092031973 4.7618306141975333e-05 61176710593.636665 -13434836.980573531
2060.704628830958 11000.0 1044.7597965314053 3034.2496358689673 4.779686338615601e-05 1300.7860275066878 4.7623029526579195e-05 60872664074.61572 -13432127.282031855
2063.3008288093392 11000.0 1046.846395096276 3033.9457870429665 4.8201831404171205e-05 1301.659191456654 4.7627798959729264e-05 60557239689.56238 -13429412.169851191
2065.897028787721 11000.0 1048.9357323003933 3033.6389403510398 4.862752109849253e-05 1302.5653429070155 4.7632616419170516e-05 60229568933.51768 -13426691.63685522
2068.4932287661027 11000.0 1051.0277545042336 3033.3289604803053 4.907588002762893e-05 1303.507603528312 4.76374840588076e-05 59888684181.34075 -13423965.676000144
